epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_3,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_3,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_3,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_3,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_3,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_3,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/out_line,val/AP/parking_lot,val/AP/parking_space,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_3,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_3,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_3,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_3,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_3,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_3,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.347529956154176e-07,8.347529956154176e-07,2.6983926204593445e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.686541736489744e-06,1.686541736489744e-06,5.451854434568304e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.538330591050908e-06,2.538330591050908e-06,8.205316248677264e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3901192182383966e-06,3.3901192182383966e-06,1.0958778062786223e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.241907845425885e-06,4.241907845425885e-06,1.3712239876895183e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.093696927360725e-06,5.093696927360725e-06,1.6465702401546878e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.945485554548213e-06,5.945485554548213e-06,1.9219163505113102e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.797274181735702e-06,6.797274181735702e-06,2.1972626029764797e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.649063263670541e-06,7.649063263670541e-06,2.472608855441649e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.500851436110679e-06,8.500851436110679e-06,2.7479549657982716e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.352640518045519e-06,9.352640518045519e-06,3.023301076154894e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4087122082710266,0.7746182680130005,0.668659508228302,0.8446815609931946,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,10.41433334350586,0.9040752649307251,0.5928760170936584,0.7432321906089783,0.8170167803764343,0.5852997303009033,29.017335891723633,0.03283359855413437,0.05122345685958862,0.041484929621219635,0.03752923384308815,0.03599650785326958,0.07273921370506287,0.5393632054328918,0.7095040678977966,0.6432033777236938,0.586645781993866,0.5699976086616516,0.7376667857170105,0.20226457715034485,0.23971810936927795,0.23747742176055908,0.22120273113250732,0.2114250659942627,0.31913867592811584,0.028953280299901962,0.028545716777443886,0.029716022312641144,0.0289456844329834,0.02906000427901745,0.04021094739437103,0.14634202420711517,0.15601009130477905,0.15391354262828827,0.15016362071037292,0.14876176416873932,0.23216655850410461,0.9130493998527527,0.617330014705658,0.6953295469284058,0.7604987025260925,0.869706928730011,0.8213657736778259,0.8323073983192444,0.5977310538291931
0,586,2598.740966796875,2598.740966796875,2598.740966796875,2598.740966796875,2598.740966796875,2598.7392578125,17.661842346191406,41.898216247558594,0.07764524966478348,0.11403355747461319,0.10527065396308899,0.08920940011739731,0.08108186721801758,0.17467331886291504,0.7277520895004272,0.832978367805481,0.7279521822929382,0.7548975944519043,0.7337093949317932,0.6859011650085449,0.2811081111431122,0.34418874979019165,0.3352169990539551,0.3099594712257385,0.28887462615966797,0.4613245129585266,0.11191744357347488,0.12891103327274323,0.13263875246047974,0.10342348366975784,0.09953325241804123,0.07437156140804291,0.3065829873085022,0.3097839951515198,0.29887068271636963,0.29479649662971497,0.29319798946380615,0.31224310398101807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999971553042997e-06,9.999971553042997e-06,3.2325550591849606e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999237590818666e-06,9.999237590818666e-06,3.2323177379112167e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.997512279369403e-06,9.997512279369403e-06,3.231759819755098e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.994794709200505e-06,9.994794709200505e-06,3.2308815889336984e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.991087608796079e-06,9.991087608796079e-06,3.229683045447018e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.986390068661422e-06,9.986390068661422e-06,3.228164757729246e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.980702998291235e-06,9.980702998291235e-06,3.2263264415632875e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.974028216674924e-06,9.974028216674924e-06,3.224168665383331e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96636754280189e-06,9.96636754280189e-06,3.22169228184066e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.957720976672135e-06,9.957720976672135e-06,3.21889700671818e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.948091246769764e-06,9.948091246769764e-06,3.215784261101362e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.937479262589477e-06,9.937479262589477e-06,3.2123540449902066e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5045602917671204,0.8548063635826111,0.7770900130271912,0.86639004945755,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,198.59239196777344,10.41433334350586,0.9402927160263062,0.6971559524536133,0.8112958073616028,0.8483296632766724,0.6215239763259888,25.727155685424805,0.0230752844363451,0.03370899334549904,0.03020772896707058,0.026926372200250626,0.02446206845343113,0.062667116522789,0.45336195826530457,0.6558369994163513,0.5944681167602539,0.5153056383132935,0.4836214780807495,0.6585720777511597,0.16139858961105347,0.1914975494146347,0.1957704722881317,0.18010954558849335,0.16496960818767548,0.28011462092399597,0.028560100123286247,0.025477956980466843,0.02689443528652191,0.028956284746527672,0.027738044038414955,0.033447664231061935,0.1412946581840515,0.14898183941841125,0.14817409217357635,0.14319664239883423,0.13911116123199463,0.22183845937252045,0.9481803178787231,0.7121522426605225,0.7940552830696106,0.8243911862373352,0.8590472936630249,0.8739861845970154,0.8498538136482239,0.6241340637207031
1,1173,2598.729248046875,2598.729248046875,2598.729248046875,2598.729248046875,2598.729248046875,2598.715087890625,13.302372932434082,29.19161605834961,0.03736418858170509,0.04222153499722481,0.044216498732566833,0.040523361414670944,0.03817274793982506,0.07542847096920013,0.5020508170127869,0.8293082118034363,0.6359086036682129,0.5509212017059326,0.5210773944854736,0.7200389504432678,0.17871470749378204,0.19213417172431946,0.20271944999694824,0.1903771311044693,0.18279364705085754,0.2795478403568268,0.03322376310825348,0.033060263842344284,0.034035325050354004,0.0344521664083004,0.0333382710814476,0.04298110678792,0.1667323261499405,0.18176214396953583,0.17080944776535034,0.16906534135341644,0.16772888600826263,0.24338628351688385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
