epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/out_line,val/AP/parking_lot,val/AP/parking_space,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
4,2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.497424576285994e-06,7.497424576285994e-06,2.42359050162122e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.367547823378118e-06,7.367547823378118e-06,2.3816070893190044e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2355778684141114e-06,7.2355778684141114e-06,2.338946956115251e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1016320362105034e-06,7.1016320362105034e-06,2.2956481871005963e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.965828106331173e-06,6.965828106331173e-06,2.25174872525713e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.828286586824106e-06,6.828286586824106e-06,2.2072875083267718e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.689128895231988e-06,6.689128895231988e-06,2.1623039003770828e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.548477813339559e-06,6.548477813339559e-06,2.1168375496927183e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.406457941920962e-06,6.406457941920962e-06,2.0709286729925225e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.263195245992392e-06,6.263195245992392e-06,2.024618055429528e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
