epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/out_line,val/AP/parking_lot,val/AP/parking_space,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1585904050880345e-06,2.1585904050880345e-06,6.977781907835379e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.361233550298493e-06,4.361233550298493e-06,1.4097966527515382e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.563876468135277e-06,6.563876468135277e-06,2.1218153278823593e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.76651938597206e-06,8.76651938597206e-06,2.833833718796086e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38477423787117004,0.8288682699203491,0.7934065461158752,0.847013533115387,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,4.95049524307251,0.9277158975601196,0.669951856136322,0.844409167766571,0.8288432955741882,0.5791270732879639,10.832098960876465,0.020657405257225037,0.02275199256837368,0.02390156127512455,0.02393738180398941,0.04260995611548424,0.5740538239479065,0.8373085260391235,0.6344081163406372,0.6212095022201538,0.7276890277862549,0.18158087134361267,0.17421115934848785,0.18643546104431152,0.18604661524295807,0.25473225116729736,0.04425822198390961,0.039493378251791,0.043477416038513184,0.044755950570106506,0.0428500697016716,0.13788676261901855,0.13857464492321014,0.14441296458244324,0.13577982783317566,0.18893656134605408,0.9225770831108093,0.6690163612365723,0.708678126335144,0.8472225666046143,0.8390878438949585,0.8550959229469299,0.832391083240509,0.5792585611343384
0,226,2598.765869140625,2598.743896484375,2598.765869140625,2598.763427734375,2598.765869140625,13.252358436584473,9.61524772644043,0.018639039248228073,0.02076839841902256,0.022773990407586098,0.02063450589776039,0.042172353714704514,0.44686371088027954,0.872058629989624,0.5708149671554565,0.4821755290031433,0.57453852891922,0.12708750367164612,0.12966465950012207,0.1454758644104004,0.13645760715007782,0.19772392511367798,0.024619247764348984,0.024080321192741394,0.024928664788603783,0.025096755474805832,0.034916989505290985,0.14118751883506775,0.14212410151958466,0.1455138772726059,0.14358018338680267,0.2081599086523056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.997139386541676e-06,9.997139386541676e-06,3.231639311707113e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.969385246222373e-06,9.969385246222373e-06,3.222667999125406e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.912269888445735e-06,9.912269888445735e-06,3.204204972462321e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.826128916756716e-06,9.826128916756716e-06,3.1763593710820714e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
