epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/out_line,val/AP/parking_lot,val/AP/parking_space,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1585904050880345e-06,2.1585904050880345e-06,6.977781907835379e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,4.361233550298493e-06,4.361233550298493e-06,1.4097966527515382e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,,,,,,,,,,6.563876468135277e-06,6.563876468135277e-06,2.1218153278823593e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,199,,,,,,,,,,,,,,,,,,,,,,,,,,,8.76651938597206e-06,8.76651938597206e-06,2.833833718796086e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3650510013103485,0.7373790144920349,0.7764607667922974,0.8133658766746521,198.15841674804688,198.15841674804688,198.15841674804688,198.15841674804688,4.95049524307251,0.8963540196418762,0.630397617816925,0.8384660482406616,0.8136218190193176,0.5583068132400513,8.824366569519043,0.022611267864704132,0.021764393895864487,0.02299630083143711,0.04466931149363518,0.6359097957611084,0.847255289554596,0.6393699049949646,0.7234052419662476,0.18192067742347717,0.17158940434455872,0.18654868006706238,0.2565404176712036,0.04156053066253662,0.03946251794695854,0.043436575680971146,0.04417666420340538,0.12129310518503189,0.13852794468402863,0.136493980884552,0.20005318522453308,0.8957961201667786,0.6262969374656677,0.6804004311561584,0.8394337296485901,0.8148661851882935,0.8119894862174988,0.809480607509613,0.5560711622238159
0,226,2598.76220703125,2598.7373046875,2598.76416015625,2598.76416015625,14.071147918701172,7.887940406799316,0.020544162020087242,0.020784765481948853,0.022544657811522484,0.04260195791721344,0.48870527744293213,0.8721736073493958,0.5711715817451477,0.5844981074333191,0.13447436690330505,0.12797456979751587,0.1415063589811325,0.19591714441776276,0.025040438398718834,0.024324264377355576,0.02516954019665718,0.03451472520828247,0.1386144906282425,0.13913723826408386,0.14114239811897278,0.19991184771060944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,249,,,,,,,,,,,,,,,,,,,,,,,,,,,9.997139386541676e-06,9.997139386541676e-06,3.231639311707113e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,299,,,,,,,,,,,,,,,,,,,,,,,,,,,9.969385246222373e-06,9.969385246222373e-06,3.222667999125406e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,349,,,,,,,,,,,,,,,,,,,,,,,,,,,9.912269888445735e-06,9.912269888445735e-06,3.204204972462321e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,399,,,,,,,,,,,,,,,,,,,,,,,,,,,9.826128916756716e-06,9.826128916756716e-06,3.1763593710820714e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
