split,condition,images,image_presence_rate
train,negative,1236,0.3409655172413793
train,out_line,2324,0.6411034482758621
train,parking_lot,1369,0.3776551724137931
train,parking_space,1170,0.32275862068965516
valid,negative,92,0.22772277227722773
valid,out_line,310,0.7673267326732673
valid,parking_lot,251,0.6212871287128713
valid,parking_space,183,0.452970297029703
test,negative,164,0.37528604118993136
test,out_line,257,0.5881006864988558
test,parking_lot,177,0.40503432494279173
test,parking_space,159,0.36384439359267734
