experiment_id,method_summary,artifact_kind,stage1_evaluated,stage1_passed,stage2_notebook_eligible,failure_reason,report,report_sha256
B01,none,onnx-graph,True,True,True,,artifacts/experiments/B01/front/stage1-static-evaluation.json,5b15e1705833628e6221a7509dee7f5505489dc03062d97cb28c15f8c40ea170
B02,tensorrt-fp16,tensorrt-build-recipe,True,True,True,,artifacts/experiments/B02/front/stage1-static-evaluation.json,da67907a0868ec0a70ad7f469d8e4d97179f45e70cfade07ca95a9c077573f4f
B03,tensorrt-int8-ptq,tensorrt-build-recipe,True,True,True,,artifacts/experiments/B03/front/stage1-static-evaluation.json,fd070d7d0e41baf160b9484d7ea0538f5aa7eeba31032f897ed7c10460c2c98e
U01,global-magnitude; sparsity=0.1,onnx-graph,True,False,False,ONNX 크기·node·dense MACs 중 어느 항목도 사전 고정 5% 감소 기준을 충족하지 못함,artifacts/experiments/U01/front/stage1-static-evaluation.json,d49451f0ae1d08a918de61c623730c6d780b8325ed10f5dcfd39e1cec7e4b40e
U02,global-magnitude; sparsity=0.3,onnx-graph,True,False,False,ONNX 크기·node·dense MACs 중 어느 항목도 사전 고정 5% 감소 기준을 충족하지 못함,artifacts/experiments/U02/front/stage1-static-evaluation.json,337513bd7c0717f56afa7ce255c58dc98c54f82d22eee82bec81ad5c3c5a3baa
U03,global-magnitude; sparsity=0.5,onnx-graph,True,False,False,ONNX 크기·node·dense MACs 중 어느 항목도 사전 고정 5% 감소 기준을 충족하지 못함,artifacts/experiments/U03/front/stage1-static-evaluation.json,c126e2425c765a96212a6d8e14f891c1b0a5c6fbf7399b74f1b1b477597b09f8
M01,nvidia-2to4; pattern=2:4,onnx-graph,True,True,True,,artifacts/experiments/M01/front/stage1-static-evaluation.json,4110c4cf4e19317b41a33d074f26c91cfc8bb72e122ed831748f688bfccba603
M02,nvidia-2to4; pattern=2:4,tensorrt-build-recipe,True,True,True,,artifacts/experiments/M02/front/stage1-static-evaluation.json,e09dcc010df786ecc31374a2c3be45751d22fb294f9aa90fd62939e1f4a18ebc
S01,decoder-layer; remove_layers=1,onnx-graph,True,True,True,,artifacts/experiments/S01/front/stage1-static-evaluation.json,24dbd76f9dddbf06034813e31d597e1c78314171ee5d59684f98ee63b24810a2
S02,decoder-layer; remove_layers=2,onnx-graph,True,True,True,,artifacts/experiments/S02/front/stage1-static-evaluation.json,e65551a085bb1ae67ed4fe7531633a4d6ac1131908b7264d716eef67d1f99968
