experiment_id,method_summary,stage1_result,stage2_status,bbox_ap,mask_ap,semantic_miou,median_ms,p95_ms,replicate_median_cv,engine_size_bytes,accuracy_gate_pass,realtime_30fps_pass,p95_latency_warning,pareto_optimal,deployment_candidate,dominated_by,final_disposition_reason
B01,none,통과,완료,0.7378589271657685,0.6026426958851505,0.7120070817052193,45.82025699710357,48.56151670392137,0.0012307590258718059,135622764,True,False,True,False,False,C01,정확도 gate 통과 후 C01에 지배됨
B02,tensorrt-fp16,통과,완료,0.7415530084406021,0.6017216878776938,0.7138475799724896,25.775210498977685,28.130155548933544,0.028758074415614024,71242972,True,True,False,False,False,C01,정확도 gate 통과 후 C01에 지배됨
B03,tensorrt-int8-ptq,통과,완료,0.7421901253864573,0.602749828431408,0.712443682711115,25.360001498484053,27.903415251421393,0.02264303164311767,71309796,True,True,False,False,False,C01,정확도 gate 통과 후 C01에 지배됨
U01,global-magnitude; sparsity=0.1,불통,대상 외,,,,,,,,,,,False,False,,ONNX 크기·node·dense MACs 중 어느 항목도 사전 고정 5% 감소 기준을 충족하지 못함
U02,global-magnitude; sparsity=0.3,불통,대상 외,,,,,,,,,,,False,False,,ONNX 크기·node·dense MACs 중 어느 항목도 사전 고정 5% 감소 기준을 충족하지 못함
U03,global-magnitude; sparsity=0.5,불통,대상 외,,,,,,,,,,,False,False,,ONNX 크기·node·dense MACs 중 어느 항목도 사전 고정 5% 감소 기준을 충족하지 못함
M01,nvidia-2to4; pattern=2:4,통과,완료,0.6345828690273081,0.517988143310128,0.6826235848602537,25.386515499121742,27.630041898737545,0.009584037272303062,71198284,False,True,False,False,False,,BBox AP Δ -0.1033 < -0.0100; Mask AP Δ -0.0847 < -0.0100; mIoU Δ -0.0294 < -0.0200
M02,nvidia-2to4; pattern=2:4,통과,완료,0.632380362274998,0.5148480302335408,0.6751028359197037,25.26247049900121,28.145969146498825,0.005740374355430834,65423652,False,True,False,False,False,,BBox AP Δ -0.1055 < -0.0100; Mask AP Δ -0.0878 < -0.0100; mIoU Δ -0.0369 < -0.0200
S01,decoder-layer; remove_layers=1,통과,완료,0.7389992702819812,0.6022300056180777,0.7338994811052602,44.509862000268186,46.95399169904703,0.011642104926461654,129241676,True,False,True,False,False,C01,정확도 gate 통과 후 C01에 지배됨
S02,decoder-layer; remove_layers=2,통과,완료,0.7161213328372058,0.5850419797466627,0.7531286481742853,42.95711550003034,45.106496605149005,0.005551494122696149,122879868,False,False,True,False,False,,BBox AP Δ -0.0217 < -0.0100; Mask AP Δ -0.0176 < -0.0100
S03,ffn-dimension; reduction=0.2,불통,대상 외,,,,,,,,,,,False,False,,ONNX 크기·node·dense MACs 중 어느 항목도 사전 고정 5% 감소 기준을 충족하지 못함
S04,ffn-dimension; reduction=0.4,통과,완료,0.5180516359118821,0.5213500016890231,0.6475576194715931,45.76865499984706,48.07662969978992,0.005799672497766354,127079372,False,False,True,False,False,,BBox AP Δ -0.2198 < -0.0100; Mask AP Δ -0.0813 < -0.0100; mIoU Δ -0.0644 < -0.0200
C01,structured-selected,통과,완료,0.738597901902575,0.6029119261351803,0.7366895364204816,25.29960950050736,27.511681694886644,0.029110828330105306,67873396,True,True,False,True,True,,최종 Pareto 비지배해
C02,structured-selected,통과,완료,0.7400863602009445,0.6023425986945383,0.741211228206296,26.182795998465735,27.425261502867215,0.008494843897792766,67959596,True,True,False,False,False,C01,정확도 gate 통과 후 C01에 지배됨
C03,structured-resolution; input=432x432,통과,완료,0.7318819382580608,0.5939927335145,0.7353064144990077,36.29605549576809,37.83398185187252,0.00487708089505782,128549228,True,False,True,False,False,"C01, R01","정확도 gate 통과 후 C01, R01에 지배됨"
C04,structured-resolution; input=480x480,통과,완료,0.7310415390195883,0.599605674186933,0.7281783411589681,41.97326050052652,43.17550875166489,0.0025527561390843475,128969140,True,False,True,False,False,C01,정확도 gate 통과 후 C01에 지배됨
R01,input-resolution; input=432x432,통과,완료,0.7287984799915459,0.5941087991992697,0.7034388832290747,24.010295503103407,25.820945401574136,0.03824869827552258,71359388,True,True,False,True,True,,최종 Pareto 비지배해
R02,input-resolution; input=480x480,통과,완료,0.7329731311010346,0.5997268915175692,0.7107549105524779,42.96294300002046,44.72060505286208,0.01259339805367014,135359412,True,False,True,False,False,C01,정확도 gate 통과 후 C01에 지배됨
R03,input-resolution; input=384x384,통과,완료,0.7264564082481132,0.5865409277639649,0.7281027967504808,32.38640950439731,34.875148851642734,0.018478673547566837,134476020,False,True,True,False,False,,BBox AP Δ -0.0114 < -0.0100; Mask AP Δ -0.0161 < -0.0100
Q01,modelopt-int8-smoothquant; INT8_SMOOTHQUANT_CFG,통과,완료,0.593151862332506,0.47432176245291,0.6590965538365575,25.113971998507623,27.84945969469845,0.010949708932196848,50137380,False,True,False,False,False,,BBox AP Δ -0.1447 < -0.0100; Mask AP Δ -0.1283 < -0.0100; mIoU Δ -0.0529 < -0.0200
Q02,modelopt-mixed-precision; INT8_DEFAULT_CFG,통과,완료,0.5964751478628372,0.48322281358260494,0.650427116319593,25.183493500662735,27.59679680384579,0.013184416494149125,45497556,False,True,False,False,False,,BBox AP Δ -0.1414 < -0.0100; Mask AP Δ -0.1194 < -0.0100; mIoU Δ -0.0616 < -0.0200
